"Day","Andalusia","Aragon","Asturias","Balearic Islands","Canary Islands","Cantabria","Castile-La Mancha","Castile and León","Catalonia","Ceuta","Valencian Community","Extremadura","Galicia","Community of Madrid","Melilla","Region of Murcia","Navarre","Basque Country","La Rioja","Spain"
"2020.02.27",1,0,0,1,6,0,0,0,2,0,2,0,0,4,0,0,0,0,0,16
"2020.02.28",6,1,0,1,6,0,0,2,3,0,8,0,0,5,0,0,0,0,0,32
"2020.02.29",8,1,0,2,6,0,0,2,5,0,10,0,0,8,0,0,0,2,0,44
"2020.03.01",12,0,1,2,7,1,1,3,6,0,15,4,0,10,0,0,1,3,0,66
"2020.03.02",12,0,1,2,7,10,3,3,15,0,15,6,0,29,0,0,1,9,1,114
"2020.03.03",13,0,1,2,7,10,7,8,15,0,15,6,0,49,0,0,1,13,3,150
"2020.03.04",13,0,2,5,7,10,12,11,15,0,19,6,1,70,0,0,3,17,7,198
"2020.03.05",12,1,5,6,8,10,13,11,24,0,19,6,1,90,0,0,3,17,11,237
"2020.03.06",21,6,5,6,11,10,15,14,24,0,30,6,3,137,0,0,3,45,29,365
"2020.03.07",27,11,5,6,18,10,15,14,24,0,30,6,3,174,0,0,3,45,39,430
"2020.03.08",35,13,7,8,17,12,15,22,49,0,37,6,5,202,0,1,3,102,55,589
"2020.03.09",54,13,7,11,22,12,26,23,75,0,37,7,6,469,0,4,3,149,81,999
"2020.03.10",71,38,22,13,25,12,39,56,124,0,50,8,22,782,0,9,12,195,144,1622
"2020.03.11",90,45,32,16,37,12,71,71,156,0,65,9,39,1024,0,11,46,225,179,2128
"2020.03.12",115,64,47,22,51,16,115,92,260,0,76,19,35,1388,0,26,73,346,205,2950
"2020.03.13",219,80,67,30,70,29,194,169,316,0,94,39,85,1990,2,35,130,417,243,4209
"2020.03.14",269,80,92,28,90,31,289,223,509,0,130,66,115,2940,3,47,146,417,278,5753
"2020.03.15",437,147,137,28,109,51,401,292,715,1,409,95,195,3544,8,71,183,630,300,7753
"2020.03.16",554,174,177,73,119,58,567,334,903,1,409,111,245,4165,8,77,274,630,312,9191
"2020.03.17",683,207,193,92,148,58,567,431,1394,1,541,153,292,4871,17,97,313,765,355,11178
"2020.03.18",859,226,242,112,181,68,675,668,1866,1,726,194,341,5637,20,122,386,973,419,13716
"2020.03.19",1008,281,292,169,220,83,801,868,2702,1,921,241,453,6777,23,167,482,1190,468,17147
"2020.03.20",1287,360,344,203,287,144,1044,1147,3270,5,1105,297,578,7165,24,204,554,1465,497,19980
"2020.03.21",1515,424,486,246,348,215,1423,1466,4203,5,1363,354,739,8921,25,240,664,1725,564,24926
"2020.03.22",1725,532,545,331,414,282,1819,1744,4704,5,1604,384,915,9702,25,296,794,2097,654,28572
"2020.03.23",1961,638,594,400,481,347,2078,2055,5925,6,1901,493,1208,10575,28,345,886,2421,747,33089
"2020.03.24",2471,758,662,478,557,425,2465,2460,7864,6,2167,636,1415,12352,28,385,1014,2728,802,39673
"2020.03.25",3010,907,779,562,657,510,2780,2940,9937,9,2616,742,1653,14597,38,477,1197,3271,928,47610
"2020.03.26",3406,1116,841,660,784,671,3383,3488,11592,10,3200,969,1915,17166,39,596,1411,3946,995,56188
"2020.03.27",3793,1338,900,755,878,810,3934,4132,12940,17,3532,1231,2322,19243,42,714,1641,4601,1236,64059
"2020.03.28",4277,1592,1004,862,1025,937,4512,4791,14263,17,4034,1394,2772,21520,45,802,1829,5136,1436,72248
"2020.03.29",4682,1858,1088,958,1125,1023,5246,5414,15026,21,4784,1456,3139,22677,48,872,2011,5740,1629,78797
"2020.03.30",5405,2078,1158,1000,1204,1100,5858,5801,16157,25,5110,1560,3723,24090,51,939,2146,6057,1733,85195
"2020.03.31",5818,2272,1236,1069,1262,1171,6424,6211,18773,34,5508,1628,4039,27509,54,974,2305,6320,1810,94417
