Day,Death,Confirmed,Recovered
31-january,0,1,0
1-february,0,1,0
2-february,0,1,0
3-february,0,1,0
4-february,0,1,0
5-february,0,1,0
6-february,0,1,0
7-february,0,1,0
8-february,0,1,0
9-february,0,2,0
10-february,0,2,0
11-february,0,2,0
12-february,0,2,0
13-february,1,2,0
14-february,1,2,2
15-february,1,2,2
16-february,1,2,2
17-february,1,2,2
18-february,1,2,2
19-february,1,2,2
20-february,1,2,2
21-february,1,2,2
22-february,1,2,2
23-february,1,2,2
24-february,1,2,2
25-february,1,3,2
26-february,1,9,2
27-february,1,17,2
28-february,1,35,2
29-february,1,54,2
1-march,1,82,2
2-march,1,136,3
3-march,1,192,3
4-march,1,267,3
5-march,3,348,10
6-march,5,531,10
7-march,8,764,30
8-march,17,1094,30
9-march,28,1527,30
10-march,35,2299,135
11-march,48,3274,188
12-march,85,4427,201
13-march,124,5958,200
14-march,144,7641,544
15-march,296,9785,556
16-march,318,11491,575
17-march,497,13994,1086
18-march,591,17688,1160
19-march,766,21735,1210
20-march,995,26304,1542
21-march,1349,31750,2131
22-march,1715,36616,2672
23-march,2146,41262,3140
24-march,2711,48953,3697
25-march,3307,57506,5054
26-march,3920,66460,6326
27-march,4673,75641,8491
28-march,5513,83885,10896
29-march,6223,90309,13219
30-march,6923,96122,14823
31-march,7744,104267,16926
1-april,8674,111680,20023
2-april,9546,119263,23509
3-april,10394,126535,26540
4-april,11171,133198,30173
5-april,11841,138731,33701
6-april,12469,142398,35723
7-april,13224,147607,38620
8-april,13981,153190,43091
9-april,14760,158935,47116
10-april,15407,163472,50860
11-april,15905,168022,54118
12-april,16515,171921,57026
13-april,17064,174951,59165
14-april,17600,178067,61924
15-april,18282,182491,65682
16-april,18901,186311,69461
17-april,19490,190129,72952
18-april,20046,193965,74662
19-april,20454,193252,77357
20-april,20851,195470,80587
21-april,21283,198421,82514
22-april,21717,200733,85915
23-april,22156,203649,89250
24-april,22521,205763,92355
25-april,22898,208269,95708
26-april,23184,209910,98732
27-april,23516,211570,100875
28-april,23813,213095,102548
29-april,24272,213942,108947
30-april,24537,215183,112050
1-may,24818,216570,114678
2-may,25097,217804,117248
3-may,25260,218739,118902
4-may,25424,219205,121343
5-may,25610,220244,123486
6-may,25854,221124,126002
7-may,26062,222045,128511
8-may,26291,223218,131148
9-may,26469,223961,133952
10-may,26613,227377,136166
11-may,26737,227770,137139
12-may,26909,228252,138980
13-may,27091,228691,140823
14-may,27308,229540,143374
15-may,27449,230183,144783
16-may,27549,230698,146446
17-may,27634,231350,149576
18-may,27693,231606,
19-may,27793,232037,
20-may,27892,232555,
21-may,27940,233037,
22-may,28628,234824,
23-may,28678,235290,
24-may,28752,235772,
25-may,26834,235400,
26-may,27117,236259,
27-may,27118,236769,
28-may,27119,237906,
29-may,27121,238564,
30-may,27125,239228,
31-may,27127,239429,
1-junio,27127,239638,
2-junio,27127,239932,
3-junio,27128,240326,
4-junio,27133,240660,
5-junio,27134,240978,
6-junio,27135,241310,
7-junio,27136,241550,
8-junio,27136,241717,
9-junio,27136,241966,
10-junio,27136,242280,
11-junio,27136,242707,
12-junio,27136,243209,
13-junio,27136,243605,
14-junio,27136,243928,
15-junio,27136,244109,
16-junio,27136,244328,
17-junio,27136,244683,
18-junio,27136,245268,
19-junio,28315,245575,
20-junio,28322,245938,
21-junio,28323,246272,
22-junio,28324,246504,
23-junio,28325,246752,
24-junio,28327,247086,
25-junio,28330,247486,
26-junio,28338,247905,
27-junio,28341,248469,
28-junio,28343,248770,
29-junio,28346,248970,
30-junio,28355,249271,
1-july,28363,249659,
2-july,28368,250103,
3-july,28385,250545,
6-july,28388,251789,
7-july,28392,252130,
8-july,28396,252513,
9-july,28401,253056,
10-july,28403,253908,
13-july,28406,255953,
,,,
* After the 19th-April only PCR confirmed cases are reported.
