"Day","Spain"
"2020.02.27",0
"2020.02.28",0
"2020.02.29",0
"2020.03.01",0
"2020.03.02",0
"2020.03.03",0
"2020.03.04",0
"2020.03.05",0
"2020.03.06",0
"2020.03.07",0
"2020.03.08",0
"2020.03.09",0
"2020.03.10",0
"2020.03.11",0
"2020.03.12",0
"2020.03.13",0
"2020.03.14",0
"2020.03.15",0
"2020.03.16",530
"2020.03.17",1028
"2020.03.18",1081
"2020.03.19",1107
"2020.03.20",1585
"2020.03.21",2125
"2020.03.22",2575
"2020.03.23",3355
"2020.03.24",3794
"2020.03.25",5367
"2020.03.26",7015
"2020.03.27",9357
"2020.03.28",12285
"2020.03.29",14709
"2020.03.30",16780
"2020.03.31",19259
